Id,Country ,City ,Borough,Zipcode,Zone,On street,Cross street 1,Cross street 2,Community Board,Council District,Reservation Date,Franchisee Name ,Status,Pole Class,Latitude,Longitude,X Coord.,Y Coord.
14848,USA,New York,Manhattan,10001,A,W 33rd St,Lincoln Tunnel,9th Ave,104,3,4/28/2017,Crown Castle Solutions,Proposed,CITY,40.7534724,-73.9984155,984689,213787
14846,USA,New York,Manhattan,10001,A,W 30th St,10th Ave,11th Ave,104,3,4/28/2017,Crown Castle Solutions,Proposed,CITY,40.752262,-74.0015628,983817,213346
13760,USA,New York,Manhattan,10001,A,W 25 ST,7 AVE,8 AVE,104,3,10/7/2016,Extenet II,Installed,CITY,40.7456223,-73.9951677,985589,210927
13716,USA,New York,Manhattan,10001,A,W 25 ST,11 AVE,10 AVE,104,3,10/7/2016,Extenet II,Installed,CITY,40.7497093,-74.0051502,982823,212416
13714,USA,New York,Manhattan,10001,A,W 24 ST,8 AVE,7 AVE,104,3,10/7/2016,Extenet II,Installed,CITY,40.7458091,-73.997499,984943,210995
13665,USA,New York,Manhattan,10001,A,10 AVE,W 30 ST,W 29 ST,104,3,10/7/2016,Extenet II,Installed,CITY,40.7519683,-74.0011947,983919,213239
13604,USA,New York,Manhattan,10001,A,11 AVE,W 24 ST,W 25 ST,104,3,10/7/2016,Extenet II,Installed,CITY,40.7495747,-74.0063629,982487,212367
13597,USA,New York,Manhattan,10001,A,7 AVE,W 24 ST,W 23 ST,104,3,10/7/2016,Extenet II,Installed,CITY,40.7447907,-73.9950161,985631,210624
13511,USA,New York,Manhattan,10001,A,11th Ave,W 29th St,W 30th St,104,3,9/22/2016,Crown Castle NG,Approved,CITY,40.7529591,-74.0042049,983085,213600
13477,USA,New York,Manhattan,10001,A,W 29th St,9th Ave,8th Ave,104,3,9/22/2016,Crown Castle NG,Approved,CITY,40.7495886,-73.9972534,985011,212372
13475,USA,New York,Manhattan,10001,A,W 26th St,8th Ave,9th Ave,104,3,9/22/2016,Crown Castle NG,Installed,CITY,40.7478539,-73.9984589,984677,211740
13473,USA,New York,Manhattan,10001,A,9th Ave,W 28th St,W 29th St,104,3,9/22/2016,Crown Castle NG,Installed,CITY,40.7496627,-73.9988595,984566,212399
13456,USA,New York,Manhattan,10001,A,10th Ave,W 30th St,W 31st St,104,3,9/22/2016,Crown Castle NG,Proposed,CITY,40.752229,-74.000711,984053,213334
13379,USA,New York,Manhattan,10001,A,7th Ave,W 26th St,W 25th St,104,3,9/22/2016,Crown Castle NG,Approved,CITY,40.7459681,-73.9944278,985794,211053
13378,USA,New York,Manhattan,10001,A,W 24th St,6th Ave,7th Ave,104,3,9/22/2016,Crown Castle NG,Proposed,CITY,40.7442087,-73.993717,985991,210412
