Id,Reservation Date,Franchisee Name ,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Zipcode,Community Board,Council District
17577,12/31/2017,Crown Castle Fiber,Approved,CITY,Brooklyn,1004486.0,189705,40.68735,-73.9270337,B,Patchen Ave,Madison St,Putnam Ave,11221,303,36
16942,01/20/2018,Mobilitie II,Installed,CITY,Brooklyn,1003339.0,191781,40.6930507,-73.9311636,B,Malcolm X Boulevard,Kosciuszko Street,Dekalb Aveue,11221,303,36
16930,01/20/2018,Mobilitie II,Approved,CITY,Brooklyn,1002776.0,190055,40.6883144,-73.9331986,B,Stuyvesant Avenue,Gates Avenue,Quincy Street,11221,303,36
16920,01/20/2018,Mobilitie II,Installed,CITY,Brooklyn,1002898.0,189255,40.6861183,-73.9327609,B,Stuyvesant Avenue,Putnam Avenue,Madison Street,11221,303,36
13913,11/05/2016,Mobilitie II,Installed,CITY,Brooklyn,1003755.0,189318,40.6862894,-73.9296706,B,Malcolm X Blvd,Putnam Ave,Jefferson Ave,11221,303,36
12576,08/10/2016,Mobilitie I,Installed,CITY,Brooklyn,1001924.0,190205,40.6887279,-73.9362703,B,Lewis Ave,Quincy St,Lexington Ave,11221,303,36
12379,08/10/2016,Mobilitie I,Installed,CITY,Brooklyn,1000410.0,189424,40.6865871,-73.9417315,B,Throop Ave,Monroe St,Gates Ave,11221,303,36
11518,03/09/2016,Mobilitie I,Installed,CITY,Brooklyn,1004404.0,190238,40.6888132,-73.9273278,B,PATCHEN AVE,GATES AVE,Quincy St.,11221,303,36
11517,03/09/2016,Mobilitie I,Installed,CITY,Brooklyn,1001275.0,189292,40.6862232,-73.9386128,B,Marcus Garvey blvd.,Madison st.,Monroe St,11221,303,36
11513,03/09/2016,Mobilitie I,Installed,CITY,Brooklyn,1003629.0,190192,40.6886886,-73.9301224,B,MALCOLM X BLVD,GATES AVE,Quincy St.,11221,303,36
11320,12/15/2015,ZenFi,Proposed,CITY,Brooklyn,1003346.0,192054,40.6938,-73.9311376,B,DeKalb Ave,Broadway,Malcom X Blvd,11221,303,36
