Id,Reservation Date,Franchisee Name ,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Zipcode,Community Board,Council District
12035,07/07/2016,Mobilitie I,Installed,UTILITY,Bronx,1027939,259202,40.87801570000,-73.84201580000,B,Wickham Ave,Tillotson Ave,E 222 St,,,,,,10469,212,12
9934,06/04/2014,Crown Castle NG,Installed,UTILITY,Bronx,1029473,254721,40.86570900000,-73.83649890000,B,Gunther Ave,E Gun Hill Rd,Bartlow Ave,,,,,,10469,212,12
9933,06/04/2014,Crown Castle NG,Installed,UTILITY,Bronx,1028552,257106,40.87225980000,-73.83981300000,B,Gunther Ave,Hammersly Ave,Adee Ave,,,,,,10469,212,12
5754,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1024327,260002,40.88022860000,-73.85507240000,B,E 218th St,Paulding Ave,Bronxwood Ave,,,,,,10469,212,12
5744,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1026514,260106,40.88050390000,-73.84716300000,B,Needham Ave,E 222nd St,Eastchester Rd,,,,,,10469,212,12
5736,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1025330,260184,40.88072350000,-73.85144420000,B,Fenton Ave,Laconia Ave,Stickney Pl,,,,,,10469,212,12
5721,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1026001,259520,40.87889790000,-73.84902180000,B,Hicks St,Corsa Ave,Fenton Ave,,,,,,10469,212,12
5683,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1027142,259067,40.87764910000,-73.84489870000,B,Boston Rd,Kingsland Ave,Mickle Ave,,,,,,10469,212,12
5134,05/09/2008,Crown Castle NG,Installed,CITY,Bronx,1029936,256960,40.87185200000,-73.83480970000,B,Edson Ave,Adee Ave,Bartow Ave,,,,,,10469,212,12
4918,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1028120,258472,40.87601120000,-73.84136600000,B,Givan Ave,Wickham Ave,Gunther Ave,,,,,,10469,212,12
4897,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1023306,259282,40.87825700000,-73.85876870000,B,E 214th St,Bronxwood Ave,Paulding Ave,,,,,,10469,212,12
4825,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1029343,255010,40.86650290000,-73.83696700000,B,Gunther Ave,Bartow Ave,E Gun Hill Rd,,,,,,10469,212,12
4811,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1028271,255469,40.86776810000,-73.84083980000,B,E Gun Hill Ave,Arnow Ave,Mickle Ave,GREENSTREET,,,,,10469,212,12
4773,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1024167,257678,40.87385070000,-73.85566480000,B,E Gun Hill Rd,Laconia Ave,Lurting Ave,,,,,,10469,212,12
4747,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1028902,258812,40.87694050000,-73.83853610000,B,Grace Ave,Givan Ave,Ely Ave,,,,,,10469,212,12
4742,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1029276,255867,40.86885550000,-73.83720350000,B,Wickham Ave,Arnow Ave,Bartow Ave,,,,,,10469,212,12
4736,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1027003,257504,40.87335980000,-73.84541130000,B,Corsa Ave,Burke Ave,Givan Ave,,,,,,10469,212,12
4703,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1025616,258147,40.87513130000,-73.85042250000,B,Wilson Ave,Boston Rd,Givan Ave,,,,,,10469,212,12
4661,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1028318,257021,40.87202770000,-73.84065960000,B,Tiemann Ave,Hammersley Ave,Adee Ave,,,,,,10469,212,12
4292,04/10/2008,Crown Castle NG,Installed,CITY,Bronx,1022852,257385,40.87305230000,-73.86042140000,B,Duncan St,Radcliff Ave,Bronxwood Ave,,,,,,10469,212,12
21820,07/22/2019,Mobilitie I,Proposed,UTILITY,Bronx,1024416,256112,40.86955140000,-73.85477380000,B,Adee Ave,Yates Ave,Laconia Ave,,,,,,10469,211,12
21816,07/22/2019,Mobilitie I,Proposed,UTILITY,Bronx,1026797,256395,40.87031700000,-73.84616320000,B,E Gun Hill Rd,Seymour Ave,Sexton Pl,,,,,,10469,211,12
20700,01/03/2019,ZenFi,Installed,UTILITY,Bronx,1026052,255377,40.86752640000,-73.84886320000,B,Sexton Pl,Wilson Av,Arnow Av,,,,,,10469,211,12
20140,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1026816,255514,40.86789880000,-73.84610010000,B,Seymour Ave,Arnow Ave,Dewitt Pl,,,,,,10469,211,12
20136,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1023125,255841,40.86881330000,-73.85944320000,B,Colden Ave,Adee Ave,Boston Rd,,,,,,10469,211,12
20135,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1024218,256767,40.87135000000,-73.85548580000,B,Laconia Ave,Burke Ave,Boston Rd,,,,,,10469,211,12
18563,01/18/2018,ExteNet I,Installed,CITY,Bronx,1024741,256050,40.86937970000,-73.85359910000,B,Adee Ave,Hering Ave,Tenbroeck Ave,,,,,,10469,211,12
15255,10/24/2017,Extenet II,Proposed,UTILITY,Bronx,1028016,255560,40.86801920000,-73.84176110000,B,E Gunhill Rd,Woodhull ave,Eastchester rd,Givan Square,,,,,10469,211,12
14282,10/28/2016,Mobilitie I,Installed,UTILITY,Bronx,1025520,256031,40.86932400000,-73.85078270000,B,Throop Ave,Adee Ave,Arnow Ave,,,,,,10469,211,12
12029,07/07/2016,Mobilitie I,Installed,UTILITY,Bronx,1026974,256279,40.86999770000,-73.84552400000,B,E Gun Hill Ave,Dewitt Pl,Seymour Ave,,,,,,10469,211,12
12014,07/06/2016,Mobilitie I,Installed,UTILITY,Bronx,1026123,256855,40.87158270000,-73.84859730000,B,Burke Ave,E Gun Hill Rd,Wilson Avenue,,,,,,10469,211,12
4858,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1023232,255556,40.86803060000,-73.85905800000,B,Boston Rd,Arnow Ave,Paulding Ave,,,,,,10469,211,12
4738,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1025418,257153,40.87240400000,-73.85114460000,B,E Gun Hill Rd,Throop Ave,Pearsall Ave,,,,,,10469,211,12
4702,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1026659,256330,40.87013920000,-73.84666260000,B,Sexton Pl,Fish Ave,E Gun Hill Rd,,,,,,10469,211,12
4318,04/10/2008,Crown Castle NG,Installed,CITY,Bronx,1025716,256096,40.86950140000,-73.85007360000,B,Bouck Ave,Adee Ave,Burke Ave,,,,,,10469,211,12
4313,04/10/2008,Crown Castle NG,Installed,CITY,Bronx,1024496,256749,40.87129940000,-73.85448080000,B,Burke Ave,Yates Ave,Hering Ave,,,,,,10469,211,12
23447,02/07/2020,Extenet II,Proposed,UTILITY,Bronx,1026762,254683,40.86561820000,-73.84630060000,B,Seymour Ave,Allerton Ave,Arnow Ave,,,,,,10469,211,13
23197,01/14/2020,Extenet II,Proposed,UTILITY,Bronx,1028849,254898,40.86619800000,-73.83875380000,B,Kingsland Ave,E Gun Hill Rd,Allerton Ave,,,,,,10469,211,13
22593,10/15/2019,Mobilitie I,Installed,UTILITY,Bronx,1024456,255338,40.86742680000,-73.85463390000,B,Yates Ave,Arnow Ave,Allerton Ave,,,,,,10469,211,13
22499,09/10/2019,Extenet II,Proposed,UTILITY,Bronx,1027585,252997,40.86098670000,-73.84333600000,B,Eastchester Rd,Waring Ave,Mace Ave,,,,,,10469,211,13
22498,09/10/2019,Extenet II,Proposed,UTILITY,Bronx,1025198,253548,40.86251040000,-73.85196210000,B,Pearsall Ave,Esplanade,Waring Ave,,,,,,10469,211,13
22496,09/09/2019,Extenet II,Proposed,UTILITY,Bronx,1026733,253474,40.86230000000,-73.84641310000,B,Seymour Ave,Mace Ave,Waring Ave,,,,,,10469,211,13
22492,09/09/2019,Extenet II,Proposed,UTILITY,Bronx,1027655,252305,40.85908700000,-73.84308740000,B,Eastchester Rd,Astor Ave,Pelham Pkwy N,,,,,,10469,211,13
21835,07/22/2019,Extenet II,Proposed,UTILITY,Bronx,1029060,252846,40.86056480000,-73.83800460000,B,Tiemann Ave,Waring Ave,Astor Ave,,,,,,10469,211,13
21834,07/22/2019,Extenet II,Proposed,UTILITY,Bronx,1025706,253038,40.86110820000,-73.85012870000,B,Waring Ave,Bouck Ave,Wilson Ave,,,,,,10469,211,13
21824,07/22/2019,Mobilitie I,Proposed,UTILITY,Bronx,1027714,252420,40.85940230000,-73.84287340000,B,Eastchester Rd,Astor Ave,Pelham Pkwy N,,,,,,10469,211,13
21818,07/22/2019,Mobilitie I,Proposed,UTILITY,Bronx,1027661,252933,40.86081060000,-73.84306170000,B,Eastchester Rd,Waring Ave,Astor Ave,,,,,,10469,211,13
21279,06/21/2019,Mobilitie I,Proposed,CITY,Bronx,1025440,254764,40.86584680000,-73.85107970000,B,Throop Ave,Allerton Ave,Arnow Ave,,,,,,10469,211,13
20267,08/02/2018,Crown Castle NG,Installed,UTILITY,Bronx,1031199,252521,40.85966170000,-73.83027410000,B,Stillwell Ave,Ely Ave,Vance St,,,,,,10469,211,13
20266,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1029324,252965,40.86089010000,-73.83704940000,B,Waring Ave,Lodovick Ave,Gunther Ave,,,,,,10469,211,13
20265,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1024945,254036,40.86385100000,-73.85287380000,B,Tenbroeck Ave,Mace Ave,Allerton Ave,,,,,,10469,211,13
20133,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1025227,255133,40.86686060000,-73.85184750000,B,Pearsall Ave,Arnow Ave,Allerton Ave,,,,,,10469,211,13
20129,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1027607,254234,40.86438170000,-73.84324850000,B,Hawthorne St,Eastchester Rd,Woodhull Ave,,,,,,10469,211,13
20128,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1026003,254234,40.86438950000,-73.84904750000,B,Wilson Ave,Allerton Ave,Mace Ave,,,,,,10469,211,13
20127,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1023433,253995,40.86374530000,-73.85834040000,B,Williamsbridge Rd,Paulding Ave,Mace Ave,,,,,,10469,211,13
20125,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1026723,253132,40.86136140000,-73.84645140000,B,Seymour Ave,Waring Ave,Mace Ave,,,,,,10469,211,13
20124,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1024052,252801,40.86046530000,-73.85610960000,B,Stell Pl,Laconia Ave,Williamsbridge Rd,,,,,,10469,211,13
20123,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1028356,252977,40.86092790000,-73.84054880000,B,Waring Ave,Mickie Ave,Westchester Ave,,,,,,10469,211,13
20122,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1024824,252576,40.85984430000,-73.85332010000,B,Astor Ave,Tenbroeck Ave,Hering Ave,,,,,,10469,211,13
20121,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1023057,252542,40.85975890000,-73.85970820000,B,Astor Ave,Colden Ave,Paulding Ave,,,,,,10469,211,13
19552,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1023567,254594,40.86538870000,-73.85785240000,B,Allerton Ave,Hone Ave,Paulding Ave,,,,,,10469,211,13
19534,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1025963,252402,40.85936140000,-73.84920350000,B,Wilson Ave,Astor Ave,Pelham Pkwy N,,,,,,10469,211,13
19533,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1029296,251654,40.85729200000,-73.83715950000,B,Pelham Pkwy N,Lodovick Ave,Stillwell Ave,Pelham Parkway,,,,,10469,211,13
19532,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1028564,253869,40.86337520000,-73.83979100000,B,Westervelt Ave,Mace Ave,Allerton Ave,,,,,,10469,211,13
19500,07/20/2018,Extenet II,Proposed,UTILITY,Bronx,1030735,252889,40.86067420000,-73.83194900000,B,Waring Ave,Vance St,Demeyer St,,,,,,10469,211,13
19499,07/20/2018,Extenet II,Proposed,UTILITY,Bronx,1027072,255090,40.86673380000,-73.84517720000,B,Morgan Ave,Arnow Ave,Allerton Ave,,,,,,10469,211,13
19317,05/02/2018,ZenFi,Installed,UTILITY,Bronx,1024708,255116,40.86681630000,-73.85372410000,B,Hering Ave,Arnow Ave,Allerton Ave,,,,,,10469,211,13
19116,03/15/2018,ZenFi,Installed,UTILITY,Bronx,1024548,252643,40.86002940000,-73.85431740000,B,Esplande Avenue,Astor Avenue,Waring Avenue,,,,,,10469,211,13
19050,03/09/2018,ZenFi,Installed,UTILITY,Bronx,1023691,252401,40.85936910000,-73.85741700000,B,Williamsbridge Rd,Astor Ave,Pelham Pkwy N,,,,,,10469,211,13
18558,01/18/2018,ExteNet I,Installed,CITY,Bronx,1023662,253212,40.86159520000,-73.85751710000,B,Williamsbridge Rd,Waring Ave,Mace Ave,,,,,,10469,211,13
18118,12/22/2017,Crown Castle Fiber,Proposed,CITY,Bronx,1027590,253616,40.86268560000,-73.84331390000,B,Eastchester Rd,Mace Ave,Waring Ave,,,,,,10469,211,13
15896,11/16/2017,Extenet II,Approved,UTILITY,Bronx,1023620,252554,40.85978930000,-73.85767280000,B,Astor Ave,Williamsbridge Rd,Paulding Ave,,,,,,10469,211,13
15252,10/24/2017,Extenet II,Approved,UTILITY,Bronx,1025120,253531,40.86246410000,-73.85224420000,B,Esplande,Pearsall ave,Waring ave,,,,,,10469,211,13
14762,05/01/2017,Crown Castle NG,Approved,CITY,Bronx,1027652,253020,40.86104950000,-73.84309360000,B,Eastchester Rd,Waring Ave,Mace Ave,,,,,,10469,211,13
14581,03/15/2017,Mobilitie I,Proposed,UTILITY,Bronx,1027073,255304,40.86732120000,-73.84517220000,B,Morgan Ave,Arnow Ave,Allerton Ave,,,,,,10469,211,13
14578,03/15/2017,Mobilitie I,Installed,UTILITY,Bronx,1029541,253631,40.86271700000,-73.83626040000,B,Mace Ave,Gunther Ave,Lodovick Ave,Burns Playground,,,,BRONX CHARTER SCHOOL FOR BETTER LEARNING II,10469,211,13
14537,01/30/2017,Mobilitie I,Installed,UTILITY,Bronx,1022560,253788,40.86318090000,-73.86149780000,B,Mace Ave,Bronxwood Ave,Radcliff Ave,,,,,,10469,211,13
13816,10/24/2016,Mobilitie II,Installed,CITY,Bronx,1022691,253108,40.86131400000,-73.86102800000,B,Waring Ave,Bronxwood Ave,Colden Ave,,,,,,10469,211,13
13623,09/29/2016,Mobilitie I,Proposed,UTILITY,Bronx,1030081,254125,40.86407010000,-73.83430480000,B,E Gunhill Rd,Bruner Ave,Gunther Ave,,,,,,10469,211,13
9937,06/04/2014,Crown Castle NG,Installed,UTILITY,Bronx,1031024,252392,40.85930860000,-73.83090760000,B,Stillwell Ave,Vance St,Ely Ave,,,,,,10469,211,13
9936,06/04/2014,Crown Castle NG,Installed,UTILITY,Bronx,1029428,252954,40.86085940000,-73.83667350000,B,Waring Ave,Lodovick Ave,Gunther Ave,,,,,,10469,211,13
9935,06/04/2014,Crown Castle NG,Installed,UTILITY,Bronx,1024944,253923,40.86354080000,-73.85287810000,B,Tenbroeck Ave,Mace Ave,Allerton Ave,,,,,,10469,211,13
4955,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1027545,254408,40.86485960000,-73.84347150000,B,Eastchester Rd,Allerton Ave,Hawthorne St,,,,,,10469,211,13
4947,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1026724,252905,40.86073830000,-73.84644930000,B,Seymour Ave,Waring Ave,Astor Ave,,,,,,10469,211,13
4942,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1023879,254693,40.86565910000,-73.85672380000,B,Lurting Ave,Allerton Ave,Arnow Ave,,,,,,10469,211,13
4864,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1026006,254229,40.86437570000,-73.84903670000,B,Wilson Ave,Allerton Ave,Mace Ave,,,,,,10469,211,13
4793,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1024913,252686,40.86014580000,-73.85299760000,B,Tenbroneck Ave,Astor Ave,Waring Ave,,,,,,10469,211,13
4759,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1031248,252538,40.85970810000,-73.83009680000,B,Stillwell Ave,Ely Ave,E Gun Hill Rd,,,,,,10469,211,13
4744,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1028568,254062,40.86390490000,-73.83977520000,B,Westervelt Ave,Mace Ave,Allerton Ave,,,,,,10469,211,13
4723,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1024683,253946,40.86360510000,-73.85382150000,B,Hering Ave,Mace Ave,Allerton Ave,,,,,,10469,211,13
4606,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1025960,252133,40.85862310000,-73.84921600000,B,Pelham Parkway N,Wilson Ave,Young Ave,Pelham Parkway,,,,,10469,211,13
4604,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1029647,252946,40.86083630000,-73.83588190000,B,Waring Ave,Gunther Ave,Wickham Ave,,,,,,10469,211,13
4601,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1025233,255223,40.86710760000,-73.85182530000,B,Pearsall Ave,Arnow Ave,Allerton Ave,,,,,,10469,211,13
4598,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1028280,252759,40.86033000000,-73.84082500000,B,Mickle Ave,Waring Ave,Astor Ave,,,,,,10469,211,13
4570,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1023088,253773,40.86313750000,-73.85958900000,B,Mace Ave,Colden Ave,Paulding Ave,,,,,,10469,211,13
4563,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1023261,252543,40.85976070000,-73.85897070000,B,Astor Ave,Paulding Ave,Colden Ave,,,,,,10469,211,13
4562,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1023881,252801,40.86046610000,-73.85672780000,B,Stell Pl,Laconia Ave,Williambridge Rd,,,,,,10469,211,13
4557,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1027524,253595,40.86262830000,-73.84355270000,B,Eastchester Rd,Mace Ave,Waring Ave,,,,,,10469,211,13
20839,01/30/2019,ZenFi,Installed,UTILITY,Bronx,1020886,266584,40.89830910000,-73.86747980000,B,E 236th Street,Katonah Ave,Kepler Ave,,,,,,10470,212,11
20200,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1025113,268798,40.90436720000,-73.85217630000,B,E 241st St,Matilda Ave,Carpenter Ave,,,,,,10470,212,11
20199,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1025437,267883,40.90185430000,-73.85100990000,B,E 240th St,Furman Ave,White Plains Rd,,,,,,10470,212,11
20197,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1020792,267073,40.89965160000,-73.86781710000,B,E 238th St,Katonah Ave,Kepler Ave,,,,,,10470,212,11
20196,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1019976,266702,40.89863670000,-73.87077080000,B,E 237th St,Kepler Ave,Katonah Ave,,,,,,10470,212,11
20192,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1018612,266071,40.89691020000,-73.87570790000,B,E 235th St,Herkimer Pl,Napier Ave,,,,,,10470,212,11
19548,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1025948,269388,40.90598260000,-73.84915200000,B,White Plains Rd,E 242nd St,E 243rd St,,,,,,10470,212,11
19540,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1023916,267694,40.90134250000,-73.85651310000,B,Bronx Blvd,E 239th St,Nereid Ave,,,,,,10470,212,11
19057,03/09/2018,ZenFi,Installed,UTILITY,Bronx,1019608,266906,40.89919810000,-73.87210090000,B,E 238 St,Oneida Ave,Kepler Ave,,,,,,10470,212,11
19056,03/09/2018,ZenFi,Proposed,UTILITY,Bronx,1020919,266806,40.89891820000,-73.86735920000,B,Katonah Ave,E 237 St,E 236 St,,,,,,10470,212,11
15263,10/24/2017,Extenet II,Installed,UTILITY,Bronx,1021854,266435,40.89789600000,-73.86397920000,B,E 235th ST,Viereo ave,Webster ave,,,,,,10470,212,11
14573,03/15/2017,Mobilitie I,Installed,UTILITY,Bronx,1021497,267128,40.89979960000,-73.86526660000,B,Martha Av,E 238th St,E 237th St,,,,,,10470,212,11
5761,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1024160,267137,40.89981270000,-73.85563370000,B,Matilda Ave,Nereid Ave,E 239th St,,,,,,10470,212,11
5703,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1024951,268922,40.90470830000,-73.85276160000,B,Carpenter Ave,E 241st St,E 242nd St,,,,,,10470,212,11
5685,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1026500,268638,40.90392150000,-73.84715980000,B,St Ouen St,Barnes Ave,Wilder Ave,,,,,,10470,212,11
5682,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1023949,267819,40.90168550000,-73.85639290000,B,Bronx Blvd,E 239th St,E 240th St,,,,,,10470,212,11
5679,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1026737,268981,40.90486180000,-73.84630030000,B,E 242nd St,Wilder Ave,Murdock Ave.,,,,,,10470,212,11
5659,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1025954,269536,40.90638880000,-73.84912940000,B,White Plains Rd,E 243rd St,E 242nd St,,,,,,10470,212,11
5658,06/24/2008,Crown Castle NG,Installed,UTILITY,Bronx,1025244,267933,40.90199240000,-73.85170770000,B,White Plains Rd,E 240th St,E 239th St,,,,,,10470,212,11
4958,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1018765,266032,40.89680250000,-73.87515470000,B,E 235th St,Napier Ave,Herkimer Pl,,,,,,10470,212,11
4892,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1020313,265950,40.89657130000,-73.86955580000,B,E 233rd St,E 234th St,Katonah Ave,,,,,,10470,212,11
4859,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1020884,267046,40.89957710000,-73.86748450000,B,Katonah Ave,E 238th St,E 237th St,,,,,PS 19,10470,212,11
4820,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1019726,266917,40.89922780000,-73.87167400000,B,E 238th St,Kepler Ave,Oneida Ave,,,,,,10470,212,11
4711,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1021797,266429,40.89787980000,-73.86418540000,B,E 235th St,Vireo Ave,Martha Ave,,,,,,10470,212,11
20188,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1017328,265462,40.89524360000,-73.88035530000,B,Jerome Ave,E 233rd St,Major Deegan Expy,Van Cortlandt Park,,,,,10471,226,11
18543,01/18/2018,ExteNet I,Proposed,CITY,Bronx,1012860,265539,40.89547050000,-73.89651600000,B,Broadway,W 251st St,Manhattan College Pkwy,Van Cortlandt Park,,,,,10471,226,11
4765,04/04/2008,Crown Castle NG,Installed,UTILITY,Bronx,1017384,265408,40.89509520000,-73.88015310000,B,Jerome Ave,E 233rd St,Mosholu Golf Course Rd,,,,,,10471,226,11
4277,04/10/2008,Crown Castle NG,Installed,CITY,Bronx,1012938,268445,40.90344630000,-73.89622140000,B,Broadway,W 256th St,Moshulu Ave,Van Cortlandt Park,,,,,10471,226,11
4272,04/10/2008,Crown Castle NG,Installed,CITY,Bronx,1014688,261636,40.88475190000,-73.88992170000,B,Van Cortlandt Pkwy S,Hillman Ave,Gouverneur Ave,Van Cortlandt Park,,,,,10471,226,11
23465,02/10/2020,Crown Castle Fiber,Approved,UTILITY,Bronx,1008755,263428,40.88968890000,-73.91137170000,B,W 239th Street,Blackstone Ave,Henry Hudson Pkwy W,,,,,,10471,208,11
23001,01/02/2020,ZenFi,Installed,UTILITY,Bronx,1011284,266057,40.89689730000,-73.90221440000,B,Fieldston Road,West 250th Street,West 253rd Street,,Fieldston Historic District,,,,10471,208,11
22800,11/08/2019,ZenFi,Installed,UTILITY,Bronx,1011245,263967,40.89116100000,-73.90236380000,B,Waldo Ave,W 244th St,W 245th St,,Fieldston Historic District,,,,10471,208,11
21646,07/02/2019,Crown Castle Fiber,Approved,CITY,Bronx,1012851,268305,40.90306230000,-73.89653670000,B,Broadway,W 256th St,Moshulu Ave,,,,,,10471,208,11
21467,06/28/2019,Crown Castle NG,Approved,CITY,Bronx,1010607,263244,40.88917850000,-73.90467420000,B,Greystone Ave,W 242nd St,W 240th St,,,,,,10471,208,11
21465,06/28/2019,Crown Castle NG,Approved,CITY,Bronx,1009994,269884,40.90740500000,-73.90686570000,B,Arlington Ave,W 259th St,Independence Ave,,,,,,10471,208,11
21411,06/25/2019,Crown Castle Solutions,Approved,CITY,Bronx,1011706,263208,40.88907640000,-73.90069960000,B,Manhattan College Pkwy,W 242nd St,Waldo Ave,,,,,,10471,208,11
21398,06/25/2019,Crown Castle Solutions,Approved,CITY,Bronx,1008295,263486,40.88984930000,-73.91303520000,B,Independence Ave,W 239th St,W 240th St,,,,,,10471,208,11
20502,11/19/2018,ZenFi,Installed,UTILITY,Bronx,1012639,269051,40.90511060000,-73.89730040000,B,Mosholu Ave,Post Rd,Broadway,,,,,,10471,208,11
20275,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1007848,265558,40.89553750000,-73.91464460000,B,W 247th St,Palisade Ave,Hadley Ave,,,,,,10471,208,11
20220,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1011273,267479,40.90080020000,-73.90224840000,B,Fieldston Rd,W 253rd St,H Hudson Pkwy S,Henry Hudson Parkway,,,,,10471,208,11
20219,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1008725,264395,40.89234310000,-73.91147670000,B,W 246th St,Independence Ave,Arlington Ave,,,,,,10471,208,11
20205,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1010668,271018,40.91051550000,-73.90442290000,B,W 261st St,Netherland Ave,Independence Ave,,,,,,10471,208,11
20204,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1012526,270787,40.90987570000,-73.89770190000,B,Huxley Ave,W 261st St,W 262nd St,,,,,,10471,208,11
20203,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1011437,270365,40.90872080000,-73.90164340000,B,Liebig Ave,W 260th St,W 261th St,,,,,,10471,208,11
20202,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1011976,268400,40.90332590000,-73.89970160000,B,Valles Ave,W 256th St,W 254th St,,,,,,10471,208,11
20177,08/02/2018,Crown Castle NG,Proposed,UTILITY,Bronx,1007903,262147,40.88617530000,-73.91445770000,B,Independence Ave,W 235th St,W 232nd St,,,,,,10471,208,11
19547,08/02/2018,Crown Castle NG,Approved,UTILITY,Bronx,1012579,269931,40.90752610000,-73.89751380000,B,W 260th St,Post Rd,Broadway,,,,,,10471,208,11
18887,01/26/2018,ZenFi,Installed,CITY,Bronx,1010079,270008,40.90774510000,-73.90655780000,B,Arlington Avenue,West 259th Street,Independence Avenue,,,,,,10471,208,11
18886,01/26/2018,ZenFi,Installed,CITY,Bronx,1012804,269950,40.90757750000,-73.89669970000,B,Broadway,West 260th Street,West 261st Street,,,,,,10471,208,11
18544,01/18/2018,ExteNet I,Installed,CITY,Bronx,1012654,266703,40.89866600000,-73.89725610000,B,Broadway,Lakeview Pl,Post Rd,,,,,,10471,208,11
