Id,Reservation Date,Franchisee Name ,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Construction Completed? (Y/N),Zipcode,Community Board,Council District
12180,08/10/2016,Mobilitie I,CITY,Queens,1036584,201844,40.7205370,-73.8112020,B,153rd St,79th Ave,Union Turnpike,,,,,,Y,11367,408,24
12178,08/10/2016,Mobilitie I,CITY,Queens,1035238,201593,40.7198560,-73.8160590,B,147th St,78th Rd,79th Ave,,,,,,Y,11367,408,24
12177,08/10/2016,Mobilitie I,CITY,Queens,1036064,201326,40.7191180,-73.8130820,B,150th St,Union Turnpike,79th Ave,,,,,,Y,11367,408,24
12176,08/10/2016,Mobilitie I,CITY,Queens,1035084,200893,40.7179360,-73.8166200,B,Union Turnpike,146th St,Main St,,,,,,Y,11367,408,24
5417,05/30/2008,Crown Castle NG,UTILITY,Queens,1036480,207779,40.7368280,-73.8115310,B,157th St,65th Ave,Dead End,,,,,,Y,11367,408,24
12506,08/10/2016,Mobilitie I,CITY,Queens,1037731,205420,40.7303450,-73.8070350,B,71st ave,162nd st,163rd st,,,,,,Y,11365,408,24
12494,08/10/2016,Mobilitie I,CITY,Queens,1038202,204516,40.7278610,-73.8053430,B,73rd Ave,164th St,162nd St,,,,,,Y,11365,408,24
12355,08/10/2016,Mobilitie I,CITY,Queens,1037452,206663,40.7337590,-73.8080320,B,161st St,160th St,Jewel Ave,,,,,,Y,11365,408,24
12306,08/10/2016,Mobilitie I,CITY,Queens,1041010,205203,40.7297290,-73.7952060,B,73RD AVE,175TH ST,174TH ST,,,,,,Y,11365,408,24
6664,03/04/2009,Crown Castle NG,CITY,Queens,1039080,207033,40.7347640,-73.8021550,B,67th Ave,167th Ave,166th St,,,,,,Y,11365,408,24
5435,05/30/2008,Crown Castle NG,UTILITY,Queens,1037276,207790,40.7368530,-73.8086580,B,160th St,65th Ave,161st St,,,,,,Y,11365,408,24
5039,05/09/2008,Crown Castle NG,CITY,Queens,1037253,206836,40.7342350,-73.8087490,B,160th St,161st St,65th Ave,,,,,,Y,11365,408,24
4251,04/10/2008,Crown Castle NG,CITY,Queens,1036747,206557,40.7334720,-73.8105770,B,Parsons Blvd,no street name,Jewel Ave,,,,,,Y,11365,408,24
12197,08/10/2016,Mobilitie I,CITY,Queens,1040899,204509,40.7278250,-73.7956130,B,75th Ave,174th St,175th St,,,,,,Y,11366,408,24
13122,08/25/2016,Mobilitie I,UTILITY,Queens,1039177,197682,40.7090980,-73.8018810,B,Highland Ave,162nd St,Parsons Blvd,,,,,PS 86,Y,11432,408,24
12590,08/10/2016,Mobilitie I,CITY,Queens,1037551,200210,40.7160460,-73.8077260,B,Grand Central Parkway,Parsons Blvd,82nd Dr,,,,,,Y,11432,408,24
