Id,X Coord.,Y Coord.,Latitude,Longitude,Zone,Franchisee,On street,Cross street 1,Cross street 2,Borough,Pole type,BID Advisory,Historic Advisory,NYSDOT Advisory,Park Advisory,Port Auth Advisory,School Advisory,Submission date,Equipment Installed? (Yes/No)
17415,1001352,248053,40.847507,-73.938186,B,Crown Castle NG East LLC,Broadway,W 177th St,W 176th St,Manhattan,Streetlight Pole,,,,,,,Dec-12-2017,Yes
17417,1025712,258595,40.87636,-73.850073,B,Crown Castle NG East LLC,Fish Ave,Boston Rd,Hicks St,Bronx,Streetlight Pole,,,,,,,Dec-12-2017,No
17419,1025679,259250,40.878158,-73.850188,B,Crown Castle NG East LLC,Seymour Ave,Hicks St,Boston Rd,Bronx,Streetlight Pole,,,,,,,Dec-12-2017,No
17421,994596,222852,40.778347,-73.962644,A,"Crown Castle Fiber, LLC",5th Ave,E 81st St,E 82nd St,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Metropolitan Museum Historic District,,,,,Dec-12-2017,No
17428,999262,240008,40.825429,-73.945758,B,Crown Castle NG East LLC,Convent Ave,W 146th St,W 147th St,Manhattan,Streetlight Pole,,,,,,,Dec-12-2017,No
17429,1018264,242215,40.831434,-73.877088,B,Crown Castle NG East LLC,E 172nd St,Manor Ave,Ward Ave,Bronx,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: PS 196,Dec-12-2017,Yes
17434,999473,238364,40.820917,-73.944999,C,Crown Castle NG East LLC,Edgecombe Ave,W 141st St,W 142nd St,Manhattan,Streetlight Pole,,,,,,,Dec-21-2017,Yes
17436,996106,236896,40.816892,-73.957167,B,Crown Castle NG East LLC,Broadway,W 130th St,W 131st St,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-12-2017,No
17437,1000754,247511,40.84602,-73.940348,B,Crown Castle NG East LLC,Fort Washington Ave,W 174th St,W 173rd St,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-12-2017,No
17438,996953,238568,40.82148,-73.954104,B,Crown Castle NG East LLC,Broadway,W 137th St,W 138th St,Manhattan,Streetlight Pole,,,,This pole is located within the following park: Broadway Malls,,,Dec-12-2017,No
17441,985115,157272,40.598351,-73.996885,B,"Extenet Systems, INC. II",Bath Ave,Bay 31 St,Bay Parkway,Brooklyn,Utility Pole,,,,,,,Dec-12-2017,No
17442,1032510,214849,40.756256,-73.825806,B,Crown Castle NG East LLC,Kissena Blvd,Maple Ave,Franklin Ave,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17443,1007129,238477,40.82121,-73.917338,C,"Extenet Systems, INC. II",Courtland Ave,E 156 St,E 155 St,Bronx,Utility Pole,,,,,,,Dec-12-2017,No
17448,995109,177685,40.654374,-73.960864,B,Crown Castle NG East LLC,Woodruff Ave,East 21st St,Ocean Ave,Brooklyn,Streetlight Pole,,,,,,,Dec-12-2017,No
17449,996994,175928,40.649549,-73.954074,B,Crown Castle NG East LLC,Erasmus St,Lott St,Veronica Pl,Brooklyn,Streetlight Pole,,,,,,,Dec-12-2017,No
17450,1025296,200982,40.718231,-73.851929,B,Crown Castle NG East LLC,Fleet St,69th Ave,68th Ave,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17454,995341,178165,40.655691,-73.960027,B,Crown Castle NG East LLC,Parkside Ave,Flatbush Ave,Parkside Ct,Brooklyn,Mixed Traffic And Street Pole,,,,,,,Dec-12-2017,No
17455,1005683,180519,40.662134,-73.922747,B,Crown Castle NG East LLC,Winthrop St,E 96th St,E 95th St,Brooklyn,Streetlight Pole,,,,,,,Dec-12-2017,No
17456,995793,232803,40.805659,-73.958305,B,Crown Castle NG East LLC,Morningside Ave,W 116th St,W 117th St,Manhattan,Streetlight Pole,,,,,,,Dec-12-2017,Yes
17459,980880,201206,40.71894,-74.012157,A,"Crown Castle Fiber, LLC",Harrison St,West St,Greenwich St,Manhattan,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: B M C C,Dec-12-2017,No
17465,997746,218604,40.766684,-73.951279,A,"Crown Castle Fiber, LLC",E 73rd St,FDR Dr,York Ave,Manhattan,Streetlight Pole,,,,,,,Dec-12-2017,No
17468,989853,187924,40.682483,-73.979798,B,Crown Castle NG East LLC,4th Ave,Bergen St,St Marks Pl,Brooklyn,Mixed Traffic And Street Pole,,,,,,,Dec-12-2017,No
17471,987414,187485,40.681279,-73.988592,B,Crown Castle NG East LLC,Bond St,Degraw St,Douglass St,Brooklyn,Streetlight Pole,,,,,,,Dec-12-2017,No
17472,1037880,195957,40.704371,-73.806573,B,Crown Castle NG East LLC,89th Ave,150th St,148th St,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17473,1040657,194534,40.700448,-73.796569,B,Crown Castle NG East LLC,Liberty Ave,160th St,Guy R Brewer Blvd,Queens,Mixed Traffic And Street Pole,,,,,,,Dec-12-2017,No
17474,994589,179965,40.660633,-73.962735,B,Crown Castle NG East LLC,Ocean Ave,Lincoln Rd,Empire Blvd,Brooklyn,Mixed Traffic And Street Pole,,,,,,,Dec-12-2017,No
17475,994182,177505,40.653881,-73.964205,B,Crown Castle NG East LLC,Parkside Ave,St Paul Pl,Parade Pl,Brooklyn,Streetlight Pole,,,,,,,Dec-12-2017,No
17478,1026204,259449,40.878702,-73.848288,B,Crown Castle NG East LLC,Corsa Ave,Hicks St,Boston Rd,Bronx,Streetlight Pole,,,,,,,Dec-12-2017,No
17481,1041674,196963,40.707108,-73.792881,B,Crown Castle NG East LLC,168th St,91st Ave,Jamaica Ave,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17482,1005882,222727,40.777984,-73.921894,B,Crown Castle NG East LLC,19th St,23rd Terrace,23rd Dr,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17483,987078,217246,40.762966,-73.989791,A,"Crown Castle Fiber, LLC",W 49th St,9th Ave,10th Ave,Manhattan,Streetlight Pole,,,,,,,Dec-12-2017,Yes
17484,1020051,213821,40.753493,-73.870782,B,Crown Castle NG East LLC,35th Ave,97th St,Junction Blvd,Queens,Streetlight Pole,,,,,,,Dec-12-2017,No
17485,1012919,220894,40.772933,-73.896493,B,"Extenet Systems, INC. II",48th St,20 Ave,49th St,Queens,Utility Pole,,,,,,,Dec-13-2017,No
17493,985610,188409,40.683816,-73.995096,B,"Extenet Systems, INC. II",Court St,Degraw St,Douglass St,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,Yes
17494,990651,193582,40.698012,-73.976916,B,"Extenet Systems, INC. II",Flushing Ave,N Portland Ave,N Elliott Pl,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,No
17497,990561,221381,40.774314,-73.977214,A,Crown Castle NG East LLC,Central Park West,W 69th St,W 70th St,Manhattan,Traffic Light Pole,,This pole is located within the following historic area: Central Park,,,,,Dec-22-2017,No
17500,996190,225858,40.786596,-73.956883,A,Crown Castle NG East LLC,5th Ave,E 94th St,E 93rd St,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Central Park,,,,,Dec-22-2017,No
17502,1040429,196471,40.705766,-73.797375,B,"Crown Castle Fiber, LLC",163rd St,Jamaica Ave,89th Ave,Queens,Streetlight Pole,,,,,,,Dec-22-2017,No
17503,1001824,210206,40.743626,-73.936579,B,"Crown Castle Fiber, LLC",30th Pl,47th Ave,Thomson Ave,Queens,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: BRIARCLIFFE COLLEGE,Dec-22-2017,No
17504,1015353,211863,40.748137,-73.887747,B,"Crown Castle Fiber, LLC",78th St,Roosevelt Ave,37th Ave,Queens,Streetlight Pole,,This pole is located within the following historic area: Jackson Heights Historic District,,,,,Dec-22-2017,No
17505,1029704,151530,40.582474,-73.836361,B,"Crown Castle Fiber, LLC",Beach Channel Dr,Rockaway Fwy,Beach 116th St,Queens,Traffic Light Pole,,,,,,,Dec-22-2017,No
17506,1003803,181917,40.665975,-73.929519,B,"Crown Castle Fiber, LLC",Carroll St,Ford St,Utica Ave,Brooklyn,Streetlight Pole,,,,,,,Dec-22-2017,No
17507,1002527,182391,40.667279,-73.934117,B,"Crown Castle Fiber, LLC",Schenectady Ave,President St,Union St,Brooklyn,Traffic Light Pole,,,,,,,Dec-22-2017,No
17514,1051645,176405,40.650611,-73.757123,B,"Crown Castle Fiber, LLC",Rockaway Blvd,Eastern Rd,Brookville Blvd,Queens,Mixed Traffic And Street Pole,,,This pole may be locate on the following NYS highway: ROCKAWAY BL,,,,Dec-22-2017,No
17515,1037234,195777,40.703881,-73.808904,B,"Crown Castle Fiber, LLC",Sutphin Blvd,89th Ave,88th Ave,Queens,Traffic Light Pole,,,,,,,Dec-22-2017,No
17517,1040939,196245,40.705142,-73.795538,B,"Crown Castle Fiber, LLC",Jamaica Ave,164th St,165th St,Queens,Mixed Traffic And Street Pole,,,,,,,Dec-22-2017,No
17518,1025101,201706,40.720219,-73.852628,B,"Crown Castle Fiber, LLC",68th Ave,Dartmouth St,Clyde St,Queens,Streetlight Pole,,,,,,,Dec-22-2017,No
17519,1025421,209963,40.742881,-73.851423,B,"Crown Castle Fiber, LLC",111th St,54th Ave,53rd Ave,Queens,Streetlight Pole,,,,,,,Dec-22-2017,No
17522,998371,225592,40.785863,-73.949008,C,"Crown Castle Fiber, LLC",3rd Ave,E 97th St,E 96th St,Manhattan,Traffic Light Pole,,,,,,,Dec-31-2017,No
17523,1000937,225666,40.786061,-73.939741,C,"Crown Castle Fiber, LLC",FDR Drive,E 102nd St,E 100th St,Manhattan,Streetlight Pole,,,,,,,Dec-31-2017,No
17525,1019369,213187,40.751756,-73.873247,B,"Crown Castle Fiber, LLC",94th St,37th Ave,35th Ave,Queens,Streetlight Pole,,,,,,,Dec-22-2017,No
