Id,X Coord.,Y Coord.,Latitude,Longitude,Zone,Franchisee,On street,Cross street 1,Cross street 2,Borough,Pole type,BID Advisory,Historic Advisory,NYSDOT Advisory,Park Advisory,Port Auth Advisory,School Advisory,Submission date,Equipment Installed? (Yes/No)
9577,986212,206652,40.733888,-73.992921,A,"Extenet Systems, INC. II",UNIVERSITY PL.,E.12TH ST.,E.11TH ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9579,985787,206948,40.734701,-73.994454,A,"Extenet Systems, INC. II",5TH AVE.,E12TH ST.,E13TH ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9580,986733,206668,40.733932,-73.991041,A,"Extenet Systems, INC. II",BROADWAY,E13TH ST.,E12TH ST.,Manhattan,Traffic Light Pole,,,,,,,Aug-23-2013,Yes
9581,985870,207213,40.735428,-73.994154,A,"Extenet Systems, INC. II",5TH AVE.,W13TH ST.,W14TH ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9582,986065,207446,40.736068,-73.993451,A,"Extenet Systems, INC. II",5TH AVE.,E14TH ST.,E15TH ST.,Manhattan,Traffic Light Pole,,,,,,,Aug-23-2013,Yes
9583,986574,207145,40.735241,-73.991614,A,"Extenet Systems, INC. II",E14TH ST.,UNION SQ. W.,UNION SQ. E.,Manhattan,Streetlight Pole,,,,This pole is located within the following park: Union Square Park,,,Aug-23-2013,Yes
9584,986146,207712,40.736798,-73.993158,A,"Extenet Systems, INC. II",5TH AVE.,W15TH ST.,W16TH ST.,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Ladies' Mile Historic District,,,,This pole is located within 20 feet of the following school: ABBE INTITUTE,Aug-23-2013,Yes
9585,987015,207209,40.735417,-73.990023,A,"Extenet Systems, INC. II",UNION SQ. E.,E15TH ST.,E14TH ST.,Manhattan,Traffic Light Pole,,,,This pole is located within the following park: Union Square Park,,,Aug-23-2013,Yes
9586,986748,207532,40.736304,-73.990986,A,"Extenet Systems, INC. II",UNION SQ. W.,E15TH ST.,E16TH ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9587,986246,207903,40.737322,-73.992797,A,"Extenet Systems, INC. II",5TH AVE.,W16TH ST.,W15TH ST.,Manhattan,Traffic Light Pole,,This pole is located within the following historic area: Ladies' Mile Historic District,,,,,Aug-23-2013,Yes
9588,987119,208870,40.739976,-73.989647,A,"Extenet Systems, INC. II",BROADWAY,E21ST ST.,E22ND ST.,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Ladies' Mile Historic District,,,,,Aug-23-2013,Yes
9589,981891,200875,40.718032,-74.00851,A,"Extenet Systems, INC. II",WORTH ST.,HUDSON ST.,W. BROADWAY,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9590,982262,201012,40.718408,-74.007172,A,"Extenet Systems, INC. II",LEONARD ST.,VARICK ST.,HUDSON ST.,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Tribeca West Historic District,,,,,Aug-23-2013,Yes
9591,982562,200535,40.717099,-74.006089,A,"Extenet Systems, INC. II",CHURCH ST.,WORTH ST.,LEONARD ST.,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Tribeca East Historic District,,,,,Aug-23-2013,Yes
9592,982752,201007,40.718394,-74.005404,A,"Extenet Systems, INC. II",Church Street,Franklin Street,White Street,Manhattan,Traffic Light Pole,,This pole is located within the following historic area: Tribeca East Historic District,,,,,Aug-23-2013,Yes
9593,982904,200612,40.71731,-74.004856,A,"Extenet Systems, INC. II",LEONARD ST.,BROADWAY,CHURCH ST.,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Tribeca East Historic District,,,,,Aug-23-2013,Yes
9594,982959,200228,40.716256,-74.004657,A,"Extenet Systems, INC. II",BROADWAY,WORTH ST.,THOMAS ST.,Manhattan,Traffic Light Pole,,,,,,,Aug-23-2013,Yes
9596,983545,200154,40.716053,-74.002543,A,"Extenet Systems, INC. II",LAFAYETTTE ST.,LEONARD ST.,CATHERINE LN.,Manhattan,Traffic Light Pole,,,,,,,Aug-23-2013,Yes
9598,981556,206391,40.733172,-74.009721,A,"Extenet Systems, INC. II",W10TH ST.,WEEHAWKIN ST.,WASHINGTON ST.,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Weehawken Street Historic District,,,,,Aug-23-2013,Yes
9599,981590,207972,40.737511,-74.009599,A,"Extenet Systems, INC. II",W12TH ST,WEST ST.,WASHINGTON ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9600,981589,207789,40.737009,-74.009602,A,"Extenet Systems, INC. II",BETHUNE ST.,WEST ST.,WASHINGTON ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9601,981577,207408,40.735963,-74.009645,A,"Extenet Systems, INC. II",BANK ST.,WEST ST.,WASHINGTON ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9602,981550,207156,40.735272,-74.009743,A,"Extenet Systems, INC. II",W11TH ST.,WEST ST.,WASHINGTON ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9603,981537,206927,40.734643,-74.009789,A,"Extenet Systems, INC. II",PERRY ST.,WEST ST.,WASHINGTON ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9604,981489,206089,40.732343,-74.009962,A,"Extenet Systems, INC. II",CHRISTOPHER ST.,WEEHAWKIN ST.,WEST ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9605,981486,205673,40.731201,-74.009973,A,"Extenet Systems, INC. II",MORTON ST.,WEST ST.,WASHINGTON ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9607,981877,206744,40.734141,-74.008562,A,"Extenet Systems, INC. II",WASHINGTON ST.,CHARLES ST.,PERRY ST.,Manhattan,Streetlight Pole,,,,,,,Aug-23-2013,Yes
9653,1025325,233594,40.807742,-73.851625,B,Crown Castle NG East LLC,Cornell Ave,Pugsley Ave,Husson Ave,Bronx,Utility Pole,,,,,,,Sep-10-2013,Yes
9673,935997,130163,40.523811,-74.173564,B,Crown Castle NG East LLC,Phillip Ave,Zephyr Ave,Kenwood Ave,Staten Island,Utility Pole,,,,,,,Sep-16-2013,Yes
9713,988052,206961,40.734736,-73.986281,A,"Extenet Systems, INC. II",3rd Ave,E16th St.,E17th ST.,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-20-2013,Yes
9714,987555,205905,40.731838,-73.988075,A,"Extenet Systems, INC. II",3rd Ave,E12th St,E11th St.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9715,987551,208008,40.73761,-73.988088,A,"Extenet Systems, INC. II",Park Ave. S.,E19th St,E18th St,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9716,987114,207407,40.73596,-73.989666,A,"Extenet Systems, INC. II",Union Sq East,E16th St.,E15th St.,Manhattan,Traffic Light Pole,,,,This pole is located within the following park: Union Square Park,,,Dec-20-2013,Yes
9717,987792,206493,40.733451,-73.98722,A,"Extenet Systems, INC. II",3rd Ave,E14th St,E15th St,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9718,986810,207018,40.734893,-73.990763,A,"Extenet Systems, INC. II",E14th St,Union Sq.E.,Union Sq. W.,Manhattan,Streetlight Pole,,,,This pole is located within the following park: Union Square Park,,,Dec-20-2013,Yes
9719,987092,206789,40.734264,-73.989745,A,"Extenet Systems, INC. II",E14TH ST.,4TH AVE.,IRVING PL.,Manhattan,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: NEW YORK UNIVERSITY - 145 FOURTH AVENUE,Dec-20-2013,Yes
9720,985506,210394,40.744159,-73.995467,A,"Extenet Systems, INC. II",7TH AVE.,W23RD ST.,W24TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9721,984103,209707,40.742274,-74.00053,A,"Extenet Systems, INC. II",8TH AVE.,W18TH ST.,W19TH ST.,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-20-2013,Yes
9722,983803,209320,40.741212,-74.001613,A,"Extenet Systems, INC. II",8TH AVE.,W16TH ST.,W17TH ST.,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-20-2013,Yes
9723,987315,210227,40.743701,-73.988939,A,"Extenet Systems, INC. II",BROADWAY,W26TH ST.,W25TH ST.,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Madison Square North Historic District,,,,,Dec-20-2013,Yes
9724,987276,209304,40.741167,-73.98908,A,"Extenet Systems, INC. II",BROADWAY,E23RD ST,E22ND ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9725,985302,206070,40.732291,-73.996204,A,"Extenet Systems, INC. II",5TH AVE,E8TH ST.,E9 TH ST.,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Greenwich Village Historic District,,,,,Dec-20-2013,Yes
9726,985134,205879,40.731767,-73.99681,A,"Extenet Systems, INC. II",5TH AVE,WASH. SQ. N,WASH. MEWS,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Greenwich Village Historic District,,,,,Dec-20-2013,Yes
9727,986318,205442,40.730567,-73.992538,A,"Extenet Systems, INC. II",BROADWAY,E8TH ST.,ASTOR PL.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9728,985923,205243,40.730021,-73.993964,A,"Extenet Systems, INC. II",MERCER ST.,WAVERLY PL.,E8TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9729,985675,204916,40.729124,-73.994859,A,"Extenet Systems, INC. II",MERCER ST.,W4TH ST.,WASHINGTON PL.,Manhattan,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: NEW YORK UNIVERSITY - 8 WASHINGTON PLACE,Dec-20-2013,Yes
9730,985534,204709,40.728555,-73.995367,A,"Extenet Systems, INC. II",MERCER ST.,W4TH ST.,W3RD ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9731,984159,204799,40.728803,-74.000328,A,"Extenet Systems, INC. II",BLEECKER ST,SULLIVAN ST.,THOMPSON ST,Manhattan,Streetlight Pole,,This pole is located within the following historic area: South Village Historic District,,,,,Dec-20-2013,Yes
9732,984348,205645,40.731125,-73.999646,A,"Extenet Systems, INC. II",W4TH ST.,WASH. SQ. W.,6TH AVE,Manhattan,Mixed Traffic And Street Pole,,This pole is located within the following historic area: Greenwich Village Historic District,,,,,Dec-20-2013,Yes
9733,983571,203957,40.726491,-74.00245,A,"Extenet Systems, INC. II",PRINCE ST.,SULLIVAN ST.,6TH AVE,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-20-2013,Yes
9734,985673,201078,40.718589,-73.994867,A,"Extenet Systems, INC. II",BOWERY ST.,GRAND ST.,BROOME ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9735,986124,201240,40.719034,-73.99324,A,"Extenet Systems, INC. II",CHRYSTIE ST.,BROOME ST.,DELANCEY ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9736,991208,202166,40.721573,-73.974898,A,"Extenet Systems, INC. II",E6TH ST.,FDR DR.,AVE. D,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9737,991194,201909,40.720868,-73.974949,A,"Extenet Systems, INC. II",FDR DR.,E6TH ST.,E. HOUSTON,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9738,991173,201649,40.720154,-73.975025,A,"Extenet Systems, INC. II",FDR DR.,E. HOUSTON,E6TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9739,991163,201439,40.719578,-73.975061,A,"Extenet Systems, INC. II",FDR DR.,E. HOUSTON,E6TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9740,990887,200788,40.717791,-73.976058,A,"Extenet Systems, INC. II",STANTON ST.,MANGIN ST.,BARUCH PL.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9741,991084,200913,40.718134,-73.975347,A,"Extenet Systems, INC. II",FDR DR.,E. HOUSTON,DELANCEY ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9742,991036,200686,40.717511,-73.97552,A,"Extenet Systems, INC. II",FDR DR.,E. HOUSTON,DELANCEY ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9743,990936,200400,40.716726,-73.975881,A,"Extenet Systems, INC. II",FDR DR.,DELANCEY ST.,E. HOUSTON,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9745,990773,199934,40.715447,-73.97647,A,"Extenet Systems, INC. II",FDR DR.,DELANCEY ST.,E. HOUSTON ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9746,991033,201265,40.7191,-73.97553,A,"Extenet Systems, INC. II",E. HOUSTON,MANGIN ST.,BARUCH PL.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9747,990360,200047,40.715757,-73.977959,A,"Extenet Systems, INC. II",DELANCEY ST.,BARUCH DR.,LEWIS ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9748,983776,212832,40.750851,-74.001711,A,"Extenet Systems, INC. II",10TH AVENUE,W28TH ST.,W29TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9749,983624,212557,40.750096,-74.002259,A,"Extenet Systems, INC. II",10TH AVENUE,W27TH ST.,W26TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9750,983432,212367,40.749575,-74.002952,A,"Extenet Systems, INC. II",10TH AVENUE,W26TH ST.,W25TH ST.,Manhattan,Streetlight Pole,,This pole is located within the following historic area: West Chelsea Historic District,,,,,Dec-20-2013,Yes
9751,984812,212846,40.75089,-73.997972,A,"Extenet Systems, INC. II",9TH AVENUE,W30TH ST.,W31TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9752,984654,212558,40.750099,-73.998542,A,"Extenet Systems, INC. II",9TH AVENUE,W29TH ST.,W28TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9753,984497,212431,40.749751,-73.999109,A,"Extenet Systems, INC. II",9TH AVENUE,W28TH ST.,W29TH ST.,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-20-2013,Yes
9754,989736,213038,40.751415,-73.9802,A,"Extenet Systems, INC. II",MADISON AVE.,E4OTH ST.,E39TH ST.,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-20-2013,Yes
9755,989830,213338,40.752238,-73.97986,A,"Extenet Systems, INC. II",E41ST ST.,MADISON AVE.,5TH AVE.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9756,989990,213602,40.752963,-73.979283,A,"Extenet Systems, INC. II",MADISON AVE.,E42ND ST.,E43RD ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9760,988828,212432,40.749752,-73.983477,A,"Extenet Systems, INC. II",5TH AVE.,E36TH ST.,E37TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9761,988674,212156,40.748995,-73.984033,A,"Extenet Systems, INC. II",5TH AVE.,E35TH ST.,E34TH ST.,Manhattan,Mixed Traffic And Street Pole,,,,,,This pole is located within 20 feet of the following school: CUNY GRADUATE CENTER,Dec-20-2013,Yes
9762,988483,211811,40.748048,-73.984723,A,"Extenet Systems, INC. II",5TH AVE.,33RD S.,E34TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,No
9771,982939,214708,40.756,-74.004732,A,"Extenet Systems, INC. II",W33RD ST.,12TH AVE.,11TH AVE.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,No
9776,989425,218974,40.767708,-73.981318,A,"Extenet Systems, INC. II",CENTRAL PARK SOUTH,COLUMBUS CIRCLE,7TH AVE.,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-20-2013,No
9777,989779,218863,40.767403,-73.98004,A,"Extenet Systems, INC. II",CENTRAL PARK SOUTH,7th Avenue,COLUMBUS CIRCLE,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Central Park,,,,,Dec-20-2013,Yes
9778,990024,218724,40.767021,-73.979155,A,"Extenet Systems, INC. II",CENTRAL PARK SOUTH,7th Avenue,COLUMBUS CIRCLE,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Central Park,,,,,Dec-20-2013,Yes
9779,988754,216775,40.761673,-73.983741,A,"Extenet Systems, INC. II",BROADWAY,W50TH ST.,W51ST ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,No
9780,988440,216250,40.760232,-73.984875,A,"Extenet Systems, INC. II",BROADWAY,W48TH ST.,W49TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9781,988537,216490,40.76089,-73.984525,A,"Extenet Systems, INC. II",BROADWAY,W49TH ST.,W50TH ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9782,988260,216039,40.759653,-73.985525,A,"Extenet Systems, INC. II",W47TH ST.,BROADWAY,8TH AVE.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9783,988041,215225,40.757419,-73.986316,A,"Extenet Systems, INC. II",W44TH ST.,7TH AVE,8TH AVE.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9784,988414,215011,40.756831,-73.98497,A,"Extenet Systems, INC. II",W44TH ST.,BROADWAY,6TH AVE.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9785,988650,214880,40.756471,-73.984118,A,"Extenet Systems, INC. II",W44TH ST.,6TH AVE.,BROADWAY,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9788,983307,200671,40.717472,-74.003402,A,"Extenet Systems, INC. II",BROADWAY,FRANKLIN ST.,WHITE ST.,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Tribeca East Historic District,,,,,Dec-20-2013,Yes
9790,981935,207755,40.736916,-74.008354,A,"Extenet Systems, INC. II",WASHINGTON ST.,BETHUNE ST.,BANK ST.,Manhattan,Streetlight Pole,,,,,,,Dec-20-2013,Yes
9793,1009432,167210,40.625594,-73.909284,B,Crown Castle NG East LLC,Royce Place,Bergen Ave,Royce Street,Brooklyn,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9794,1011989,163059,40.614192,-73.900089,B,Crown Castle NG East LLC,Ave Y,E 72 st,E71st,Brooklyn,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9795,1024181,233406,40.807231,-73.855759,B,Crown Castle NG East LLC,Bolton Ave,Cornell Ave,Starboard Ct,Bronx,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9796,1018233,241188,40.828615,-73.877205,B,Crown Castle NG East LLC,Ward Ave,Westchester Ave,Watson Ave,Bronx,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9798,1036411,222676,40.777717,-73.811664,B,Crown Castle NG East LLC,23rd Ave,Willets Pt Blvd,Murray St,Queens,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9799,1035729,223995,40.781341,-73.814117,B,Crown Castle NG East LLC,150th Street,20th Ave,19th Ave,Queens,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9800,1036070,221422,40.774277,-73.812905,B,Crown Castle NG East LLC,Murray Street,26th Ave,25th Drive,Queens,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9813,962716,174510,40.64564,-74.077598,B,Crown Castle NG East LLC,Richmond Terrace,Hamilton Avenue,Wall Street,Staten Island,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9814,963921,160747,40.607866,-74.073214,B,Crown Castle NG East LLC,Rubenstein Street,St. Johns Avenue,Dead End,Staten Island,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9815,962171,166887,40.624715,-74.079537,B,Crown Castle NG East LLC,Broad Street,Canal Street,Wright street,Staten Island,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9817,956599,160691,40.607693,-74.099584,B,Crown Castle NG East LLC,Hewitt Avenue,Dead End,Michael Loop,Staten Island,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9818,940243,152058,40.583931,-74.158433,B,Crown Castle NG East LLC,Brunswick Street,Richmond Hill Road,Villanova Street,Staten Island,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9819,938411,165471,40.620738,-74.16512,B,Crown Castle NG East LLC,Farragut Avenue,Regis Drive,Goethals Bridge N,Staten Island,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,Apr-04-2014,Yes
9833,1047313,221104,40.773331,-73.772316,B,Crown Castle NG East LLC,214th Pl,32nd Rd,Dead End,Queens,Streetlight Pole,,,,,,,Apr-04-2014,Yes
9834,992057,217208,40.762859,-73.971818,A,Crown Castle NG East LLC,Madison Ave,E 58th St,E 57th St,Manhattan,Streetlight Pole,,,,,,,Apr-17-2014,Yes
9835,991954,217023,40.762351,-73.97219,A,Crown Castle NG East LLC,Madison Ave,E 57th St,E 58th St,Manhattan,Streetlight Pole,,,,,,,Apr-17-2014,Yes
9836,991782,216709,40.761489,-73.972811,A,Crown Castle NG East LLC,Madison Ave,E 56th St,E 55th St,Manhattan,Streetlight Pole,,,,,,,Apr-17-2014,Yes
9839,979969,197930,40.709948,-74.015442,A,Crown Castle NG East LLC,Albany St,West Side St,South End Ave,Manhattan,Streetlight Pole,,,,,,,Apr-17-2014,Yes
9895,963002,170634,40.635002,-74.076555,B,Crown Castle NG East LLC,Swan St,Van Duzer St,St. Pauls Avenue,Staten Island,Utility Pole,,,,,,,May-29-2014,Yes
9896,963996,166014,40.622323,-74.07296,B,Crown Castle NG East LLC,Vanderbilt Ave,Bay St,Errington Pl,Staten Island,Utility Pole,,,,,,,May-29-2014,Yes
9897,965611,163455,40.615303,-74.067135,B,Crown Castle NG East LLC,Bay St,Virginia Ave,Clifton Ave,Staten Island,Utility Pole,,,,,,,May-29-2014,Yes
9898,958263,164673,40.618628,-74.093607,B,Crown Castle NG East LLC,Howard Ave,Stratford Ave,Seth ct,Staten Island,Utility Pole,,,,,,,May-29-2014,Yes
9899,938134,162785,40.613364,-74.166099,B,Crown Castle NG East LLC,Oliver Pl,Fieldstone Rd,Commerce St,Staten Island,Utility Pole,,,,,,,May-29-2014,Yes
9901,961249,172405,40.639859,-74.082877,B,Crown Castle NG East LLC,Benziger Ave,Westervelt Ave,Bismark Ave,Staten Island,Utility Pole,,,,,,,May-29-2014,Yes
9902,960468,172982,40.64144,-74.085693,B,Crown Castle NG East LLC,Layton Ave,Bismark Ave,Jersey St,Staten Island,Utility Pole,,,,,,,May-29-2014,Yes
9903,936305,158962,40.602861,-74.17266,B,Crown Castle NG East LLC,Sparks Pl,Signs Rd,Victory Bl,Staten Island,Utility Pole,,,,,,,May-29-2014,Yes
9905,956374,155523,40.593507,-74.100373,B,Crown Castle NG East LLC,Richmond Ave,Norden St,Delaware St,Staten Island,Utility Pole,,,,,,,May-29-2014,Yes
9915,949800,142619,40.558065,-74.123978,B,Crown Castle NG East LLC,Montreal Ave,Pendale St,Hylan Blvd,Staten Island,Utility Pole,,,,,,,Jun-03-2014,Yes
9916,946690,141072,40.553806,-74.135162,B,Crown Castle NG East LLC,Durant Ave,Bay Terrace,Taunton St,Staten Island,Utility Pole,,,,,,,Jun-03-2014,Yes
9917,957046,160070,40.60599,-74.097972,B,Crown Castle NG East LLC,Emerson Ave,Dead End,Carlton Pl,Staten Island,Utility Pole,,,,,,,Jun-03-2014,Yes
9918,959180,161951,40.611159,-74.090293,B,Crown Castle NG East LLC,Concord Ave,Dead End,Starbuck st,Staten Island,Utility Pole,,,,,,,Jun-03-2014,Yes
9919,949854,157491,40.598886,-74.12386,B,Crown Castle NG East LLC,Brielle Ave,Melba St,Gower St,Staten Island,Utility Pole,,,,,,,Jun-03-2014,Yes
9920,944459,164078,40.616943,-74.143326,B,Crown Castle NG East LLC,Collfield Ave,Watchogue Rd,Water Ave,Staten Island,Utility Pole,,,,,,,Jun-03-2014,Yes
9921,947776,162434,40.612445,-74.131369,B,Crown Castle NG East LLC,Victory Blvd,Wheeler Ave,Bradley Ave,Staten Island,Utility Pole,,,,,,,Jun-03-2014,Yes
9922,947829,164333,40.617658,-74.131189,B,Crown Castle NG East LLC,Jewett Ave,Margaretta Ct,Keiber Ct,Staten Island,Utility Pole,,,,,,,Jun-03-2014,Yes
9924,951704,163731,40.61602,-74.117228,B,Crown Castle NG East LLC,Slosson Ave,Lakeland Rd,Knox Pl,Staten Island,Utility Pole,,,,,,,Jun-03-2014,Yes
9925,944068,164794,40.618907,-74.144738,B,Crown Castle NG East LLC,Willowbrook Rd,Devens St,Home Pl,Staten Island,Utility Pole,,,,,,,Jun-03-2014,Yes
9927,1008311,166749,40.624331,-73.913324,B,Crown Castle NG East LLC,Avenue M,E 70th St,E 69th St,Brooklyn,Utility Pole,,,,,,,Jun-04-2014,Yes
9931,1030052,263878,40.890839,-73.834343,B,Crown Castle NG East LLC,Bell Ave,Pratt Ave,Strang Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9933,1028552,257106,40.87226,-73.839813,B,Crown Castle NG East LLC,Gunther Ave,Hammersly Ave,Adee Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9934,1029473,254721,40.865709,-73.836499,B,Crown Castle NG East LLC,Gunther Ave,E Gun Hill Rd,Bartlow Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9935,1024944,253923,40.863541,-73.852878,B,Crown Castle NG East LLC,Tenbroeck Ave,Mace Ave,Allerton Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9936,1029428,252954,40.860859,-73.836674,B,Crown Castle NG East LLC,Waring Ave,Lodovick Ave,Gunther Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9937,1031024,252392,40.859309,-73.830908,B,Crown Castle NG East LLC,Stillwell Ave,Vance St,Ely Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9939,1021335,247208,40.845126,-73.865963,B,Crown Castle NG East LLC,White Plains Rd,Morris Park Ave,Van Nest Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9940,1029976,244010,40.836308,-73.834753,B,Crown Castle NG East LLC,Waterbury Ave,Edwards Ave,Ellison Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9941,1031419,245301,40.839844,-73.82953,B,Crown Castle NG East LLC,Crosby Ave,La Salle Ave,Coddington Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9944,1032229,236459,40.815571,-73.826665,B,Crown Castle NG East LLC,Miles Ave,Robinson Ave,Davis Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9946,1033750,236355,40.815277,-73.821171,B,Crown Castle NG East LLC,Huntington Ave,Harding Ave,Lawton Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9947,1034324,236973,40.81697,-73.819093,B,Crown Castle NG East LLC,Quincy Ave,Lawton Ave,Miles Ave,Bronx,Utility Pole,,,,,,,Jun-04-2014,Yes
9953,1046872,222649,40.777574,-73.773893,B,Crown Castle NG East LLC,28th Ave,214th Pl,214th St,Queens,Utility Pole,,,,,,,Jun-04-2014,Yes
9955,1056224,216232,40.75989,-73.740195,B,Crown Castle NG East LLC,Redfield St,52nd Ave,51st Ave,Queens,Utility Pole,,,,,,,Jun-04-2014,Yes
9956,1056821,180134,40.660805,-73.73843,B,Crown Castle NG East LLC,Caney Rd,243rd St,249th St,Queens,Utility Pole,,,,,,,Jun-04-2014,Yes
9957,1055253,178152,40.655378,-73.744102,B,Crown Castle NG East LLC,147th Dr,241st St,Brookville Blvd,Queens,Utility Pole,,,,,,,Jun-04-2014,Yes
